Time (s),AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Sampling Rate
0.0000000000e+000,3.7235898438e+003,3.6823076172e+003,3.7047436523e+003,3.7958974609e+003,3.6873076172e+003,3.7215385742e+003,3.7291025391e+003,3.7198718262e+003,3.7298718262e+003,3.6778205566e+003,3.6832050781e+003,3.7158974609e+003,3.7037180176e+003,3.7060256348e+003,128
7.8125000000e-003,3.9635898438e+003,3.9101281738e+003,3.9319230957e+003,4.0079487305e+003,3.9183332520e+003,3.9507692871e+003,3.9579487305e+003,3.9425642090e+003,3.9511538086e+003,3.9114101563e+003,3.9207692871e+003,3.9412819824e+003,3.9388461914e+003,3.9284614258e+003,
1.5625000000e-002,4.0934614258e+003,4.0389743652e+003,4.0638461914e+003,4.1329487305e+003,4.0538461914e+003,4.0794870605e+003,4.0834614258e+003,4.0688461914e+003,4.0751281738e+003,4.0483332520e+003,4.0539743652e+003,4.0703845215e+003,4.0729487305e+003,4.0576923828e+003,
2.3437500000e-002,4.3447436523e+003,4.3116665039e+003,4.3102563477e+003,4.3800000000e+003,4.3129487305e+003,4.3280771484e+003,4.3161538086e+003,4.3193588867e+003,4.3191025391e+003,4.3207690430e+003,4.3207690430e+003,4.3201284180e+003,4.3308974609e+003,4.3046152344e+003,
3.1250000000e-002,4.2816665039e+003,4.2758974609e+003,4.2596152344e+003,4.3032050781e+003,4.2546152344e+003,4.2766665039e+003,4.2644873047e+003,4.2726923828e+003,4.2674360352e+003,4.2653847656e+003,4.2719228516e+003,4.2719228516e+003,4.2766665039e+003,4.2542309570e+003,
3.9062500000e-002,4.2338461914e+003,4.2276923828e+003,4.2164101563e+003,4.2534614258e+003,4.2035898438e+003,4.2283334961e+003,4.2201284180e+003,4.2261538086e+003,4.2215385742e+003,4.2170512695e+003,4.2230771484e+003,4.2275639648e+003,4.2306411133e+003,4.2102563477e+003,
4.6875000000e-002,4.1992309570e+003,4.1742309570e+003,4.1802563477e+003,4.2241025391e+003,4.1678203125e+003,4.1793588867e+003,4.1737177734e+003,4.1779487305e+003,4.1741025391e+003,4.1666665039e+003,4.1821796875e+003,4.1900000000e+003,4.1852563477e+003,4.1697436523e+003,
5.4687500000e-002,4.2426923828e+003,4.2124360352e+003,4.2255126953e+003,4.2675639648e+003,4.2210258789e+003,4.2203847656e+003,4.2132050781e+003,4.2173076172e+003,4.2114101563e+003,4.2062822266e+003,4.2285898438e+003,4.2347436523e+003,4.2255126953e+003,4.2117949219e+003,
6.2500000000e-002,4.2793588867e+003,4.2516665039e+003,4.2692309570e+003,4.3010258789e+003,4.2706411133e+003,4.2617949219e+003,4.2526923828e+003,4.2578203125e+003,4.2498715820e+003,4.2507690430e+003,4.2755126953e+003,4.2767949219e+003,4.2676923828e+003,4.2533334961e+003,
7.0312500000e-002,4.2400000000e+003,4.2182050781e+003,4.2321796875e+003,4.2587177734e+003,4.2296152344e+003,4.2276923828e+003,4.2196152344e+003,4.2237177734e+003,4.2153847656e+003,4.2166665039e+003,4.2361538086e+003,4.2391025391e+003,4.2319228516e+003,4.2175639648e+003,
