Time (s),AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Sampling Rate
0.0000000000e+000,4.2514101563e+003,3.9402563477e+003,4.1164101563e+003,4.1402563477e+003,3.8962819824e+003,4.1226923828e+003,4.1180771484e+003,4.1044873047e+003,4.1278203125e+003,3.7588461914e+003,4.1356411133e+003,4.1110258789e+003,4.1576923828e+003,4.1875639648e+003,128
7.8125000000e-003,4.2157690430e+003,3.9438461914e+003,4.1128203125e+003,4.1343588867e+003,3.9250000000e+003,4.1182050781e+003,4.1105126953e+003,4.1085898438e+003,4.1133334961e+003,3.7666667480e+003,4.0967949219e+003,4.1008974609e+003,4.1373076172e+003,4.1671796875e+003,
1.5625000000e-002,4.1514101563e+003,3.8750000000e+003,4.0560256348e+003,4.0691025391e+003,3.8450000000e+003,4.0580769043e+003,4.0548718262e+003,4.0473076172e+003,4.0494870605e+003,3.6997436523e+003,4.0312819824e+003,4.0371794434e+003,4.0784614258e+003,4.1079487305e+003,
2.3437500000e-002,4.2332050781e+003,3.9596154785e+003,4.1442309570e+003,4.1515385742e+003,3.9021794434e+003,4.1314101563e+003,4.1339741211e+003,4.1191025391e+003,4.1198715820e+003,3.7682050781e+003,4.1415385742e+003,4.1320512695e+003,4.1405126953e+003,4.1984614258e+003,
3.1250000000e-002,4.2484614258e+003,4.0075642090e+003,4.1547436523e+003,4.1730771484e+003,3.9560256348e+003,4.1329487305e+003,4.1260258789e+003,4.1162822266e+003,4.1166665039e+003,3.8026923828e+003,4.1374360352e+003,4.1492309570e+003,4.1761538086e+003,4.2178203125e+003,
3.9062500000e-002,4.2164101563e+003,3.9753845215e+003,4.1252563477e+003,4.1375639648e+003,3.9232050781e+003,4.0976923828e+003,4.0929487305e+003,4.0773076172e+003,4.0748718262e+003,3.7708974609e+003,4.0989741211e+003,4.1166665039e+003,4.1528203125e+003,4.1892309570e+003,
4.6875000000e-002,4.1874360352e+003,3.9461538086e+003,4.1074360352e+003,4.1012822266e+003,3.8693588867e+003,4.0578205566e+003,4.0632050781e+003,4.0480769043e+003,4.0356411133e+003,3.7406411133e+003,4.1012822266e+003,4.1055126953e+003,4.1246152344e+003,4.1773076172e+003,
5.4687500000e-002,4.1467949219e+003,3.9093588867e+003,4.0694870605e+003,4.0606411133e+003,3.8247436523e+003,4.0162819824e+003,4.0200000000e+003,4.0148718262e+003,4.0058974609e+003,3.7052563477e+003,4.0696154785e+003,4.0728205566e+003,4.0861538086e+003,4.1426923828e+003,
6.2500000000e-002,4.0369230957e+003,3.8019230957e+003,3.9624357910e+003,3.9489743652e+003,3.7161538086e+003,3.9111538086e+003,3.9107692871e+003,3.9191025391e+003,3.9310256348e+003,3.6092307129e+003,3.9546154785e+003,3.9632050781e+003,3.9861538086e+003,4.0382050781e+003,
7.0312500000e-002,4.0025642090e+003,3.7669230957e+003,3.9294870605e+003,3.9162819824e+003,3.6865385742e+003,3.8847436523e+003,3.8844870605e+003,3.8944870605e+003,3.9167949219e+003,3.5817949219e+003,3.9137180176e+003,3.9237180176e+003,3.9539743652e+003,4.0029487305e+003,
7.8125000000e-002,3.9748718262e+003,3.7394870605e+003,3.9048718262e+003,3.8950000000e+003,3.6687180176e+003,3.8721794434e+003,3.8721794434e+003,3.8823076172e+003,3.9089743652e+003,3.5602563477e+003,3.8806411133e+003,3.8939743652e+003,3.9238461914e+003,3.9743588867e+003,
8.5937500000e-002,3.9380769043e+003,3.7038461914e+003,3.8723076172e+003,3.8680769043e+003,3.6470512695e+003,3.8576923828e+003,3.8558974609e+003,3.8652563477e+003,3.8896154785e+003,3.5279487305e+003,3.8394870605e+003,3.8600000000e+003,3.8800000000e+003,3.9376923828e+003,
9.3750000000e-002,3.8265385742e+003,3.5908974609e+003,3.7644870605e+003,3.7697436523e+003,3.5573076172e+003,3.8042307129e+003,3.7962819824e+003,3.7898718262e+003,3.8032050781e+003,3.4347436523e+003,3.7338461914e+003,3.7491025391e+003,3.7650000000e+003,3.8271794434e+003,
1.0156250000e-001,3.8039743652e+003,3.5758974609e+003,3.7412819824e+003,3.7430769043e+003,3.5292307129e+003,3.7580769043e+003,3.7630769043e+003,3.7411538086e+003,3.7467949219e+003,3.3953845215e+003,3.6862819824e+003,3.7266667480e+003,3.7343588867e+003,3.8014101563e+003,
1.0937500000e-001,3.8238461914e+003,3.5950000000e+003,3.7560256348e+003,3.7644870605e+003,3.5562819824e+003,3.7732050781e+003,3.7761538086e+003,3.7530769043e+003,3.7543588867e+003,3.4100000000e+003,3.6989743652e+003,3.7443588867e+003,3.7507692871e+003,3.8175642090e+003,
1.1718750000e-001,3.8674357910e+003,3.6316667480e+003,3.7975642090e+003,3.8055129395e+003,3.5914101563e+003,3.8041025391e+003,3.8070512695e+003,3.7842307129e+003,3.7824357910e+003,3.4521794434e+003,3.7457692871e+003,3.7834614258e+003,3.7967949219e+003,3.8606411133e+003,
1.2500000000e-001,3.8661538086e+003,3.6264101563e+003,3.8006411133e+003,3.7994870605e+003,3.5788461914e+003,3.7961538086e+003,3.8012819824e+003,3.7773076172e+003,3.7776923828e+003,3.4494870605e+003,3.7484614258e+003,3.7826923828e+003,3.7957692871e+003,3.8621794434e+003,
1.3281250000e-001,3.8060256348e+003,3.5674357910e+003,3.7439743652e+003,3.7403845215e+003,3.5106411133e+003,3.7192307129e+003,3.7248718262e+003,3.6982050781e+003,3.7016667480e+003,3.3771794434e+003,3.6824357910e+003,3.7348718262e+003,3.7237180176e+003,3.8062819824e+003,
1.4062500000e-001,3.8056411133e+003,3.5680769043e+003,3.7389743652e+003,3.7446154785e+003,3.5024357910e+003,3.7076923828e+003,3.7144870605e+003,3.6896154785e+003,3.6917949219e+003,3.3717949219e+003,3.6791025391e+003,3.7369230957e+003,3.7189743652e+003,3.8044870605e+003,
1.4843750000e-001,3.8346154785e+003,3.5955129395e+003,3.7624357910e+003,3.7723076172e+003,3.5101281738e+003,3.7098718262e+003,3.7273076172e+003,3.7115385742e+003,3.7152563477e+003,3.4055129395e+003,3.7194870605e+003,3.7619230957e+003,3.7508974609e+003,3.8294870605e+003,
1.5625000000e-001,3.7946154785e+003,3.5621794434e+003,3.7308974609e+003,3.7417949219e+003,3.5029487305e+003,3.6847436523e+003,3.7076923828e+003,3.7020512695e+003,3.7058974609e+003,3.3782050781e+003,3.6724357910e+003,3.7260256348e+003,3.7125642090e+003,3.7892307129e+003,
1.6406250000e-001,3.8034614258e+003,3.5730769043e+003,3.7391025391e+003,3.7544870605e+003,3.5067949219e+003,3.6978205566e+003,3.7221794434e+003,3.7173076172e+003,3.7208974609e+003,3.3864101563e+003,3.6785898438e+003,3.7317949219e+003,3.7147436523e+003,3.7941025391e+003,
1.7187500000e-001,3.8162819824e+003,3.5871794434e+003,3.7496154785e+003,3.7666667480e+003,3.5083332520e+003,3.7169230957e+003,3.7400000000e+003,3.7343588867e+003,3.7375642090e+003,3.4006411133e+003,3.6915385742e+003,3.7392307129e+003,3.7216667480e+003,3.8024357910e+003,
1.7968750000e-001,3.7937180176e+003,3.5626923828e+003,3.7239743652e+003,3.7338461914e+003,3.4802563477e+003,3.7179487305e+003,3.7308974609e+003,3.7212819824e+003,3.7228205566e+003,3.3897436523e+003,3.6650000000e+003,3.7120512695e+003,3.6994870605e+003,3.7783332520e+003,
1.8750000000e-001,3.8064101563e+003,3.5778205566e+003,3.7321794434e+003,3.7414101563e+003,3.5458974609e+003,3.7546154785e+003,3.7587180176e+003,3.7478205566e+003,3.7491025391e+003,3.4179487305e+003,3.6848718262e+003,3.7342307129e+003,3.7137180176e+003,3.8042307129e+003,
1.9531250000e-001,3.8811538086e+003,3.6610256348e+003,3.8029487305e+003,3.8165385742e+003,3.6288461914e+003,3.8273076172e+003,3.8323076172e+003,3.8202563477e+003,3.8244870605e+003,3.4987180176e+003,3.7747436523e+003,3.8070512695e+003,3.7870512695e+003,3.8776923828e+003,
