Time (s),AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Sampling Rate
0.0000000000e+000,5.2065385742e+003,5.3226923828e+003,5.3661538086e+003,5.2985898438e+003,5.3098715820e+003,5.3328203125e+003,5.3306411133e+003,5.3710258789e+003,5.3267949219e+003,5.2467949219e+003,5.3521796875e+003,5.2879487305e+003,5.3258974609e+003,5.3578203125e+003,128
7.8125000000e-003,5.4906411133e+003,5.6158974609e+003,5.6456411133e+003,5.5867949219e+003,5.6067949219e+003,5.6302563477e+003,5.6166665039e+003,5.6389741211e+003,5.5950000000e+003,5.5201284180e+003,5.6315385742e+003,5.5655126953e+003,5.6002563477e+003,5.6337177734e+003,
1.5625000000e-002,5.6766665039e+003,5.8378203125e+003,5.8387177734e+003,5.7797436523e+003,5.8105126953e+003,5.8371796875e+003,5.8107690430e+003,5.8419228516e+003,5.7853847656e+003,5.7425639648e+003,5.8398715820e+003,5.7626923828e+003,5.8042309570e+003,5.8271796875e+003,
2.3437500000e-002,5.6098715820e+003,5.7734614258e+003,5.7769228516e+003,5.7102563477e+003,5.7452563477e+003,5.7767949219e+003,5.7473076172e+003,5.7776923828e+003,5.7201284180e+003,5.6805126953e+003,5.7810258789e+003,5.7015385742e+003,5.7424360352e+003,5.7634614258e+003,
3.1250000000e-002,5.5217949219e+003,5.6746152344e+003,5.7021796875e+003,5.6228203125e+003,5.6685898438e+003,5.6911538086e+003,5.6660258789e+003,5.6721796875e+003,5.6103847656e+003,5.5642309570e+003,5.6894873047e+003,5.6156411133e+003,5.6448715820e+003,5.6767949219e+003,
3.9062500000e-002,5.5824360352e+003,5.7355126953e+003,5.7617949219e+003,5.6843588867e+003,5.7364101563e+003,5.7471796875e+003,5.7235898438e+003,5.7303847656e+003,5.6635898438e+003,5.6229487305e+003,5.7474360352e+003,5.6739741211e+003,5.7005126953e+003,5.7366665039e+003,
4.6875000000e-002,5.7112822266e+003,5.8743588867e+003,5.8875639648e+003,5.8089741211e+003,5.8787177734e+003,5.8693588867e+003,5.8519228516e+003,5.8737177734e+003,5.7965385742e+003,5.7689741211e+003,5.8834614258e+003,5.8060258789e+003,5.8420512695e+003,5.8682050781e+003,
5.4687500000e-002,5.8646152344e+003,6.0438461914e+003,6.0573076172e+003,5.9580771484e+003,6.0252563477e+003,6.0196152344e+003,6.0066665039e+003,6.0502563477e+003,5.9707690430e+003,5.9396152344e+003,6.0650000000e+003,5.9774360352e+003,6.0212822266e+003,6.0382050781e+003,
6.2500000000e-002,5.8608974609e+003,6.0414101563e+003,6.0629487305e+003,5.9526923828e+003,6.0185898438e+003,6.0147436523e+003,6.0008974609e+003,6.0587177734e+003,5.9785898438e+003,5.9453847656e+003,6.0707690430e+003,5.9835898438e+003,6.0215385742e+003,6.0423076172e+003,
7.0312500000e-002,5.8091025391e+003,5.9873076172e+003,6.0185898438e+003,5.9016665039e+003,5.9635898438e+003,5.9638461914e+003,5.9487177734e+003,6.0187177734e+003,5.9396152344e+003,5.9015385742e+003,6.0235898438e+003,5.9402563477e+003,5.9726923828e+003,5.9957690430e+003,
7.8125000000e-002,5.6844873047e+003,5.8584614258e+003,5.8947436523e+003,5.7889741211e+003,5.8330771484e+003,5.8448715820e+003,5.8294873047e+003,5.9098715820e+003,5.8369228516e+003,5.7837177734e+003,5.8989741211e+003,5.8225639648e+003,5.8535898438e+003,5.8702563477e+003,
