Time (s);AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;Sampling Rate
0.0000000000e+000;3.6155129395e+003;3.6087180176e+003;3.6416667480e+003;3.6662819824e+003;3.6211538086e+003;3.6614101563e+003;3.6448718262e+003;3.6173076172e+003;3.6155129395e+003;3.6016667480e+003;3.6296154785e+003;3.6425642090e+003;3.6374357910e+003;3.6402563477e+003;128
7.8125000000e-003;3.6453845215e+003;3.6355129395e+003;3.6705129395e+003;3.6921794434e+003;3.6469230957e+003;3.6878205566e+003;3.6678205566e+003;3.6448718262e+003;3.6461538086e+003;3.6335898438e+003;3.6566667480e+003;3.6737180176e+003;3.6614101563e+003;3.6664101563e+003;
1.5625000000e-002;3.6488461914e+003;3.6338461914e+003;3.6674357910e+003;3.6921794434e+003;3.6602563477e+003;3.6821794434e+003;3.6657692871e+003;3.6642307129e+003;3.6720512695e+003;3.6551281738e+003;3.6728205566e+003;3.6762819824e+003;3.6761538086e+003;3.6730769043e+003;
2.3437500000e-002;3.6492307129e+003;3.6361538086e+003;3.6652563477e+003;3.6950000000e+003;3.6708974609e+003;3.6842307129e+003;3.6658974609e+003;3.6730769043e+003;3.6803845215e+003;3.6625642090e+003;3.6720512695e+003;3.6764101563e+003;3.6756411133e+003;3.6746154785e+003;
3.1250000000e-002;3.6083332520e+003;3.6212819824e+003;3.6284614258e+003;3.6869230957e+003;3.6515385742e+003;3.6767949219e+003;3.6543588867e+003;3.6519230957e+003;3.6603845215e+003;3.6311538086e+003;3.6351281738e+003;3.6420512695e+003;3.6469230957e+003;3.6376923828e+003;
3.9062500000e-002;3.6224357910e+003;3.6402563477e+003;3.6414101563e+003;3.6914101563e+003;3.6635898438e+003;3.6991025391e+003;3.6774357910e+003;3.6784614258e+003;3.6852563477e+003;3.6571794434e+003;3.6630769043e+003;3.6633332520e+003;3.6679487305e+003;3.6598718262e+003;
4.6875000000e-002;3.5757692871e+003;3.5883332520e+003;3.5961538086e+003;3.6452563477e+003;3.6169230957e+003;3.6557692871e+003;3.6320512695e+003;3.6308974609e+003;3.6343588867e+003;3.6073076172e+003;3.6148718262e+003;3.6166667480e+003;3.6148718262e+003;3.6125642090e+003;
5.4687500000e-002;3.6008974609e+003;3.6087180176e+003;3.6208974609e+003;3.6732050781e+003;3.6374357910e+003;3.6730769043e+003;3.6511538086e+003;3.6462819824e+003;3.6474357910e+003;3.6289743652e+003;3.6329487305e+003;3.6371794434e+003;3.6389743652e+003;3.6316667480e+003;
6.2500000000e-002;3.5458974609e+003;3.5533332520e+003;3.5729487305e+003;3.6129487305e+003;3.5773076172e+003;3.6258974609e+003;3.6008974609e+003;3.5855129395e+003;3.5756411133e+003;3.5621794434e+003;3.5803845215e+003;3.5884614258e+003;3.5902563477e+003;3.5841025391e+003;
7.0312500000e-002;3.5708974609e+003;3.5737180176e+003;3.5956411133e+003;3.6347436523e+003;3.5919230957e+003;3.6438461914e+003;3.6208974609e+003;3.6060256348e+003;3.5924357910e+003;3.5825642090e+003;3.6033332520e+003;3.6128205566e+003;3.6128205566e+003;3.6087180176e+003;
7.8125000000e-002;3.5814101563e+003;3.5788461914e+003;3.6030769043e+003;3.6441025391e+003;3.5892307129e+003;3.6475642090e+003;3.6258974609e+003;3.6135898438e+003;3.5988461914e+003;3.5914101563e+003;3.6103845215e+003;3.6243588867e+003;3.6193588867e+003;3.6184614258e+003;
8.5937500000e-002;3.5464101563e+003;3.5441025391e+003;3.5651281738e+003;3.6125642090e+003;3.5491025391e+003;3.6107692871e+003;3.5898718262e+003;3.5726923828e+003;3.5619230957e+003;3.5535898438e+003;3.5710256348e+003;3.5951281738e+003;3.5775642090e+003;3.5830769043e+003;
9.3750000000e-002;3.6451281738e+003;3.6511538086e+003;3.6612819824e+003;3.7048718262e+003;3.6794870605e+003;3.6912819824e+003;3.6744870605e+003;3.6608974609e+003;3.6579487305e+003;3.6594870605e+003;3.6857692871e+003;3.6937180176e+003;3.6862819824e+003;3.6829487305e+003;
1.0156250000e-001;3.6252563477e+003;3.6265385742e+003;3.6434614258e+003;3.6832050781e+003;3.6551281738e+003;3.6683332520e+003;3.6510256348e+003;3.6410256348e+003;3.6412819824e+003;3.6403845215e+003;3.6673076172e+003;3.6720512695e+003;3.6666667480e+003;3.6614101563e+003;
1.0937500000e-001;3.6051281738e+003;3.6006411133e+003;3.6247436523e+003;3.6606411133e+003;3.6237180176e+003;3.6466667480e+003;3.6300000000e+003;3.6194870605e+003;3.6242307129e+003;3.6162819824e+003;3.6419230957e+003;3.6471794434e+003;3.6425642090e+003;3.6370512695e+003;
1.1718750000e-001;3.7270512695e+003;3.7185898438e+003;3.7426923828e+003;3.7719230957e+003;3.7308974609e+003;3.7544870605e+003;3.7457692871e+003;3.7411538086e+003;3.7532050781e+003;3.7384614258e+003;3.7528205566e+003;3.7597436523e+003;3.7575642090e+003;3.7506411133e+003;
1.2500000000e-001;3.8006411133e+003;3.7943588867e+003;3.8147436523e+003;3.8432050781e+003;3.8075642090e+003;3.8212819824e+003;3.8165385742e+003;3.8219230957e+003;3.8347436523e+003;3.8233332520e+003;3.8287180176e+003;3.8346154785e+003;3.8337180176e+003;3.8251281738e+003;
1.3281250000e-001;3.8108974609e+003;3.8074357910e+003;3.8257692871e+003;3.8552563477e+003;3.8246154785e+003;3.8314101563e+003;3.8284614258e+003;3.8412819824e+003;3.8535898438e+003;3.8453845215e+003;3.8439743652e+003;3.8480769043e+003;3.8485898438e+003;3.8382050781e+003;
1.4062500000e-001;3.6830769043e+003;3.6847436523e+003;3.6996154785e+003;3.7284614258e+003;3.6914101563e+003;3.7343588867e+003;3.7162819824e+003;3.7257692871e+003;3.7357692871e+003;3.7184614258e+003;3.7146154785e+003;3.7211538086e+003;3.7075642090e+003;3.7091025391e+003;
1.4843750000e-001;3.6417949219e+003;3.6419230957e+003;3.6574357910e+003;3.6948718262e+003;3.6541025391e+003;3.6994870605e+003;3.6798718262e+003;3.6843588867e+003;3.6916667480e+003;3.6706411133e+003;3.6700000000e+003;3.6797436523e+003;3.6644870605e+003;3.6685898438e+003;
1.5625000000e-001;3.7524357910e+003;3.7455129395e+003;3.7597436523e+003;3.7891025391e+003;3.7519230957e+003;3.7880769043e+003;3.7824357910e+003;3.7779487305e+003;3.7791025391e+003;3.7676923828e+003;3.7694870605e+003;3.7719230957e+003;3.7765385742e+003;3.7741025391e+003;
1.6406250000e-001;3.7470512695e+003;3.7421794434e+003;3.7539743652e+003;3.7826923828e+003;3.7517949219e+003;3.7878205566e+003;3.7803845215e+003;3.7643588867e+003;3.7619230957e+003;3.7542307129e+003;3.7614101563e+003;3.7597436523e+003;3.7584614258e+003;3.7632050781e+003;
1.7187500000e-001;3.7865385742e+003;3.7844870605e+003;3.7893588867e+003;3.8207692871e+003;3.7992307129e+003;3.8217949219e+003;3.8150000000e+003;3.7966667480e+003;3.7924357910e+003;3.7882050781e+003;3.7961538086e+003;3.7953845215e+003;3.7973076172e+003;3.8001281738e+003;
1.7968750000e-001;3.7623076172e+003;3.7633332520e+003;3.7710256348e+003;3.7960256348e+003;3.7739743652e+003;3.7889743652e+003;3.7796154785e+003;3.7687180176e+003;3.7594870605e+003;3.7658974609e+003;3.7747436523e+003;3.7887180176e+003;3.7835898438e+003;3.7851281738e+003;
1.8750000000e-001;3.7717949219e+003;3.7733332520e+003;3.7769230957e+003;3.8094870605e+003;3.7792307129e+003;3.7955129395e+003;3.7857692871e+003;3.7666667480e+003;3.7702563477e+003;3.7797436523e+003;3.7958974609e+003;3.8006411133e+003;3.7952563477e+003;3.7942307129e+003;
