Time (s);AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;Sampling Rate
0.0000000000e+000;3.6738461914e+003;3.4515385742e+003;3.5116667480e+003;3.5998718262e+003;3.4844870605e+003;3.4674357910e+003;3.5112819824e+003;3.4878205566e+003;3.4715385742e+003;3.4079487305e+003;3.4808974609e+003;3.4769230957e+003;3.4746154785e+003;3.3796154785e+003;128
7.8125000000e-003;4.0633332520e+003;3.8544870605e+003;3.9074357910e+003;3.9544870605e+003;3.8712819824e+003;3.8343588867e+003;3.8776923828e+003;3.9121794434e+003;3.8925642090e+003;3.8465385742e+003;3.8939743652e+003;3.8780769043e+003;3.8834614258e+003;3.7691025391e+003;
1.5625000000e-002;4.1051284180e+003;3.8991025391e+003;3.9548718262e+003;3.9979487305e+003;3.9152563477e+003;3.8832050781e+003;3.9251281738e+003;3.9548718262e+003;3.9355129395e+003;3.8888461914e+003;3.9396154785e+003;3.9214101563e+003;3.9238461914e+003;3.8121794434e+003;
2.3437500000e-002;4.3238461914e+003;4.1557690430e+003;4.1876923828e+003;4.2452563477e+003;4.1897436523e+003;4.1297436523e+003;4.1635898438e+003;4.1925639648e+003;4.1739741211e+003;4.1383334961e+003;4.1765385742e+003;4.1520512695e+003;4.1658974609e+003;4.0423076172e+003;
3.1250000000e-002;4.3165385742e+003;4.1696152344e+003;4.1869228516e+003;4.2421796875e+003;4.2087177734e+003;4.1566665039e+003;4.1867949219e+003;4.1906411133e+003;4.1737177734e+003;4.1526923828e+003;4.1762822266e+003;4.1524360352e+003;4.1705126953e+003;4.0428205566e+003;
3.9062500000e-002;4.3841025391e+003;4.2412822266e+003;4.2575639648e+003;4.3103847656e+003;4.2820512695e+003;4.2324360352e+003;4.2612822266e+003;4.2570512695e+003;4.2410258789e+003;4.2223076172e+003;4.2455126953e+003;4.2185898438e+003;4.2378203125e+003;4.1100000000e+003;
4.6875000000e-002;4.6478203125e+003;4.5329487305e+003;4.5419228516e+003;4.5907690430e+003;4.5653847656e+003;4.5125639648e+003;4.5316665039e+003;4.5387177734e+003;4.5241025391e+003;4.5179487305e+003;4.5339741211e+003;4.4994873047e+003;4.5248715820e+003;4.3871796875e+003;
5.4687500000e-002;4.6607690430e+003;4.5535898438e+003;4.5603847656e+003;4.6030771484e+003;4.5824360352e+003;4.5307690430e+003;4.5469228516e+003;4.5555126953e+003;4.5433334961e+003;4.5398715820e+003;4.5538461914e+003;4.5191025391e+003;4.5456411133e+003;4.4066665039e+003;
6.2500000000e-002;4.6433334961e+003;4.5423076172e+003;4.5470512695e+003;4.5812822266e+003;4.5714101563e+003;4.5188461914e+003;4.5341025391e+003;4.5396152344e+003;4.5298715820e+003;4.5269228516e+003;4.5400000000e+003;4.5070512695e+003;4.5326923828e+003;4.3950000000e+003;
7.0312500000e-002;4.6191025391e+003;4.5415385742e+003;4.5552563477e+003;4.5783334961e+003;4.5764101563e+003;4.5083334961e+003;4.5348715820e+003;4.5269228516e+003;4.5058974609e+003;4.5146152344e+003;4.5417949219e+003;4.5101284180e+003;4.5265385742e+003;4.3853847656e+003;
