Time (s);AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;Sampling Rate
0.0000000000e+000;4.0203845215e+003;4.0153845215e+003;4.0124357910e+003;4.0080769043e+003;4.0205129395e+003;4.0069230957e+003;4.0116667480e+003;4.0193588867e+003;4.0273076172e+003;4.0532050781e+003;4.0174357910e+003;4.0329487305e+003;4.0083332520e+003;4.0073076172e+003;128
7.8125000000e-003;4.0298718262e+003;4.0244870605e+003;4.0206411133e+003;4.0212819824e+003;4.0335898438e+003;4.0151281738e+003;4.0221794434e+003;4.0250000000e+003;4.0280769043e+003;4.0573076172e+003;4.0229487305e+003;4.0389743652e+003;4.0156411133e+003;4.0143588867e+003;
1.5625000000e-002;4.0879487305e+003;4.0956411133e+003;4.0747436523e+003;4.0812819824e+003;4.0978203125e+003;4.0711538086e+003;4.0797436523e+003;4.0744870605e+003;4.0730769043e+003;4.1091025391e+003;4.0791025391e+003;4.0901281738e+003;4.0746154785e+003;4.0698718262e+003;
2.3437500000e-002;4.0992309570e+003;4.0982050781e+003;4.0835898438e+003;4.0802563477e+003;4.1042309570e+003;4.0864101563e+003;4.0942307129e+003;4.0817949219e+003;4.0824357910e+003;4.1214101563e+003;4.0858974609e+003;4.0984614258e+003;4.0837180176e+003;4.0812819824e+003;
3.1250000000e-002;4.1258974609e+003;4.1194873047e+003;4.1094873047e+003;4.1044873047e+003;4.1319228516e+003;4.1110258789e+003;4.1182050781e+003;4.1130771484e+003;4.1152563477e+003;4.1562822266e+003;4.1153847656e+003;4.1294873047e+003;4.1124360352e+003;4.1076923828e+003;
3.9062500000e-002;4.1150000000e+003;4.1058974609e+003;4.1005126953e+003;4.0973076172e+003;4.1219228516e+003;4.1034614258e+003;4.1083334961e+003;4.1085898438e+003;4.1139741211e+003;4.1523076172e+003;4.1093588867e+003;4.1255126953e+003;4.1037177734e+003;4.0979487305e+003;
4.6875000000e-002;4.0833332520e+003;4.0794870605e+003;4.0733332520e+003;4.0761538086e+003;4.0966665039e+003;4.0794870605e+003;4.0842307129e+003;4.0812819824e+003;4.0973076172e+003;4.1203847656e+003;4.0819230957e+003;4.0966665039e+003;4.0724357910e+003;4.0678205566e+003;
5.4687500000e-002;4.1152563477e+003;4.1151284180e+003;4.1042309570e+003;4.1056411133e+003;4.1291025391e+003;4.1082050781e+003;4.1152563477e+003;4.1133334961e+003;4.1337177734e+003;4.1525639648e+003;4.1135898438e+003;4.1241025391e+003;4.1038461914e+003;4.0993588867e+003;
6.2500000000e-002;4.1142309570e+003;4.1078203125e+003;4.1000000000e+003;4.0907692871e+003;4.0960258789e+003;4.1039741211e+003;4.1096152344e+003;4.1244873047e+003;4.1389741211e+003;4.1626923828e+003;4.1160258789e+003;4.1251284180e+003;4.1075639648e+003;4.0998715820e+003;
7.0312500000e-002;4.1867949219e+003;4.1855126953e+003;4.1758974609e+003;4.1606411133e+003;4.1969228516e+003;4.1625639648e+003;4.1730771484e+003;4.1858974609e+003;4.2055126953e+003;4.2284614258e+003;4.1907690430e+003;4.1985898438e+003;4.1878203125e+003;4.1741025391e+003;
7.8125000000e-002;4.1989741211e+003;4.2019228516e+003;4.1897436523e+003;4.1758974609e+003;4.2229487305e+003;4.1714101563e+003;4.1832050781e+003;4.1952563477e+003;4.2178203125e+003;4.2424360352e+003;4.2035898438e+003;4.2105126953e+003;4.2003847656e+003;4.1861538086e+003;
8.5937500000e-002;4.1905126953e+003;4.1970512695e+003;4.1810258789e+003;4.1707690430e+003;4.2178203125e+003;4.1624360352e+003;4.1756411133e+003;4.1838461914e+003;4.2069228516e+003;4.2341025391e+003;4.1942309570e+003;4.2001284180e+003;4.1901284180e+003;4.1753847656e+003;
9.3750000000e-002;4.1965385742e+003;4.2052563477e+003;4.1835898438e+003;4.1766665039e+003;4.2167949219e+003;4.1673076172e+003;4.1817949219e+003;4.1864101563e+003;4.2078203125e+003;4.2380771484e+003;4.1980771484e+003;4.2019228516e+003;4.1932050781e+003;4.1770512695e+003;
1.0156250000e-001;4.1557690430e+003;4.1551284180e+003;4.1446152344e+003;4.1279487305e+003;4.1569228516e+003;4.1353847656e+003;4.1380771484e+003;4.1553847656e+003;4.1642309570e+003;4.1925639648e+003;4.1538461914e+003;4.1587177734e+003;4.1457690430e+003;4.1346152344e+003;
1.0937500000e-001;4.1188461914e+003;4.1191025391e+003;4.1102563477e+003;4.0923076172e+003;4.1264101563e+003;4.1060258789e+003;4.1083334961e+003;4.1161538086e+003;4.1244873047e+003;4.1508974609e+003;4.1171796875e+003;4.1215385742e+003;4.1094873047e+003;4.0979487305e+003;
1.1718750000e-001;4.1516665039e+003;4.1539741211e+003;4.1421796875e+003;4.1300000000e+003;4.1637177734e+003;4.1428203125e+003;4.1433334961e+003;4.1464101563e+003;4.1466665039e+003;4.1842309570e+003;4.1564101563e+003;4.1633334961e+003;4.1487177734e+003;4.1392309570e+003;
1.2500000000e-001;4.1119228516e+003;4.1103847656e+003;4.1039741211e+003;4.0969228516e+003;4.1197436523e+003;4.1052563477e+003;4.1043588867e+003;4.1065385742e+003;4.1038461914e+003;4.1428203125e+003;4.1165385742e+003;4.1265385742e+003;4.1082050781e+003;4.1032050781e+003;
