Time (s);AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;Sampling Rate
0.0000000000e+000;4.2134614258e+003;4.1007690430e+003;4.1861538086e+003;4.0928205566e+003;4.0139743652e+003;4.2196152344e+003;4.1887177734e+003;4.2112822266e+003;4.1761538086e+003;4.1615385742e+003;4.1726923828e+003;4.0976923828e+003;4.1187177734e+003;4.1282050781e+003;128
7.8125000000e-003;4.2092309570e+003;4.0998715820e+003;4.1838461914e+003;4.0924357910e+003;4.0130769043e+003;4.2153847656e+003;4.1891025391e+003;4.2079487305e+003;4.1735898438e+003;4.1597436523e+003;4.1728203125e+003;4.0978203125e+003;4.1201284180e+003;4.1283334961e+003;
1.5625000000e-002;4.2091025391e+003;4.1033334961e+003;4.1858974609e+003;4.0944870605e+003;4.0148718262e+003;4.2135898438e+003;4.1907690430e+003;4.2066665039e+003;4.1747436523e+003;4.1600000000e+003;4.1720512695e+003;4.0996152344e+003;4.1258974609e+003;4.1287177734e+003;
2.3437500000e-002;4.2216665039e+003;4.1223076172e+003;4.1920512695e+003;4.0962822266e+003;4.0129487305e+003;4.2102563477e+003;4.1820512695e+003;4.1956411133e+003;4.1694873047e+003;4.1583334961e+003;4.1773076172e+003;4.1188461914e+003;4.1302563477e+003;4.1467949219e+003;
3.1250000000e-002;4.2365385742e+003;4.1226923828e+003;4.2146152344e+003;4.1108974609e+003;4.0239743652e+003;4.1942309570e+003;4.1779487305e+003;4.2037177734e+003;4.1741025391e+003;4.1812822266e+003;4.2158974609e+003;4.1507690430e+003;4.1543588867e+003;4.1743588867e+003;
3.9062500000e-002;4.2364101563e+003;4.1188461914e+003;4.2192309570e+003;4.1135898438e+003;4.0205129395e+003;4.1898715820e+003;4.1789741211e+003;4.1992309570e+003;4.1696152344e+003;4.1784614258e+003;4.2134614258e+003;4.1525639648e+003;4.1488461914e+003;4.1729487305e+003;
4.6875000000e-002;4.2324360352e+003;4.1256411133e+003;4.2157690430e+003;4.1150000000e+003;4.0217949219e+003;4.1832050781e+003;4.1760258789e+003;4.1887177734e+003;4.1634614258e+003;4.1698715820e+003;4.1964101563e+003;4.1455126953e+003;4.1456411133e+003;4.1674360352e+003;
5.4687500000e-002;4.2098715820e+003;4.1175639648e+003;4.1896152344e+003;4.0937180176e+003;4.0269230957e+003;4.1865385742e+003;4.1683334961e+003;4.2019228516e+003;4.1794873047e+003;4.1733334961e+003;4.1901284180e+003;4.1220512695e+003;4.1496152344e+003;4.1498715820e+003;
6.2500000000e-002;4.2080771484e+003;4.1147436523e+003;4.1894873047e+003;4.0969228516e+003;4.0273076172e+003;4.1925639648e+003;4.1734614258e+003;4.2093588867e+003;4.1850000000e+003;4.1789741211e+003;4.1987177734e+003;4.1216665039e+003;4.1462822266e+003;4.1497436523e+003;
7.0312500000e-002;4.2078203125e+003;4.1164101563e+003;4.1815385742e+003;4.1012822266e+003;4.0306411133e+003;4.2003847656e+003;4.1782050781e+003;4.2164101563e+003;4.1900000000e+003;4.1858974609e+003;4.1925639648e+003;4.1128203125e+003;4.1450000000e+003;4.1457690430e+003;
7.8125000000e-002;4.2042309570e+003;4.1143588867e+003;4.1737177734e+003;4.0980771484e+003;4.0278205566e+003;4.2007690430e+003;4.1785898438e+003;4.2160258789e+003;4.1869228516e+003;4.1802563477e+003;4.1761538086e+003;4.1050000000e+003;4.1410258789e+003;4.1378203125e+003;
8.5937500000e-002;4.1941025391e+003;4.1041025391e+003;4.1646152344e+003;4.0838461914e+003;4.0229487305e+003;4.2091025391e+003;4.1851284180e+003;4.2146152344e+003;4.1793588867e+003;4.1569228516e+003;4.1610258789e+003;4.0982050781e+003;4.1170512695e+003;4.1221796875e+003;
9.3750000000e-002;4.1962822266e+003;4.1056411133e+003;4.1666665039e+003;4.0843588867e+003;4.0289743652e+003;4.2124360352e+003;4.1878203125e+003;4.2146152344e+003;4.1803847656e+003;4.1567949219e+003;4.1683334961e+003;4.1003847656e+003;4.1138461914e+003;4.1261538086e+003;
1.0156250000e-001;4.1998715820e+003;4.1087177734e+003;4.1734614258e+003;4.0900000000e+003;4.0357692871e+003;4.2111538086e+003;4.1903847656e+003;4.2102563477e+003;4.1766665039e+003;4.1584614258e+003;4.1676923828e+003;4.1043588867e+003;4.1142309570e+003;4.1314101563e+003;
1.0937500000e-001;4.2002563477e+003;4.1062822266e+003;4.1769228516e+003;4.0919230957e+003;4.0321794434e+003;4.2075639648e+003;4.1884614258e+003;4.2055126953e+003;4.1715385742e+003;4.1567949219e+003;4.1634614258e+003;4.1051284180e+003;4.1160258789e+003;4.1288461914e+003;
1.1718750000e-001;4.2094873047e+003;4.1120512695e+003;4.1841025391e+003;4.1000000000e+003;4.0271794434e+003;4.1998715820e+003;4.1811538086e+003;4.1996152344e+003;4.1634614258e+003;4.1546152344e+003;4.1769228516e+003;4.1117949219e+003;4.1361538086e+003;4.1280771484e+003;
1.2500000000e-001;4.2146152344e+003;4.1244873047e+003;4.1884614258e+003;4.1039741211e+003;4.0344870605e+003;4.1980771484e+003;4.1814101563e+003;4.2026923828e+003;4.1638461914e+003;4.1587177734e+003;4.1869228516e+003;4.1197436523e+003;4.1471796875e+003;4.1365385742e+003;
1.3281250000e-001;4.2185898438e+003;4.1343588867e+003;4.1930771484e+003;4.1052563477e+003;4.0417949219e+003;4.1948715820e+003;4.1802563477e+003;4.2046152344e+003;4.1647436523e+003;4.1641025391e+003;4.1953847656e+003;4.1291025391e+003;4.1570512695e+003;4.1473076172e+003;
1.4062500000e-001;4.2208974609e+003;4.1365385742e+003;4.1966665039e+003;4.1037177734e+003;4.0446154785e+003;4.1903847656e+003;4.1765385742e+003;4.2032050781e+003;4.1662822266e+003;4.1685898438e+003;4.2003847656e+003;4.1371796875e+003;4.1637177734e+003;4.1573076172e+003;
1.4843750000e-001;4.2402563477e+003;4.1343588867e+003;4.2135898438e+003;4.1173076172e+003;4.0401281738e+003;4.1796152344e+003;4.1700000000e+003;4.1975639648e+003;4.1796152344e+003;4.1843588867e+003;4.2028203125e+003;4.1471796875e+003;4.1660258789e+003;4.1701284180e+003;
1.5625000000e-001;4.2230771484e+003;4.1334614258e+003;4.2053847656e+003;4.1162822266e+003;4.0539743652e+003;4.1806411133e+003;4.1671796875e+003;4.1944873047e+003;4.1798715820e+003;4.1785898438e+003;4.2092309570e+003;4.1379487305e+003;4.1614101563e+003;4.1598715820e+003;
1.6406250000e-001;4.2139741211e+003;4.1269228516e+003;4.2021796875e+003;4.1014101563e+003;4.0478205566e+003;4.1837177734e+003;4.1673076172e+003;4.1924360352e+003;4.1784614258e+003;4.1743588867e+003;4.1971796875e+003;4.1355126953e+003;4.1538461914e+003;4.1565385742e+003;
1.7187500000e-001;4.2033334961e+003;4.1180771484e+003;4.1882050781e+003;4.0842307129e+003;4.0400000000e+003;4.1879487305e+003;4.1671796875e+003;4.1942309570e+003;4.1776923828e+003;4.1678203125e+003;4.1716665039e+003;4.1243588867e+003;4.1355126953e+003;4.1478203125e+003;
