Time (s);AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;Sampling Rate
0.0000000000e+000;4.3201284180e+003;4.3150000000e+003;4.3378203125e+003;4.3401284180e+003;4.2980771484e+003;4.3151284180e+003;4.3161538086e+003;4.3283334961e+003;4.3200000000e+003;4.2782050781e+003;4.3047436523e+003;4.2996152344e+003;4.3034614258e+003;4.3324360352e+003;128
7.8125000000e-003;4.3325639648e+003;4.3285898438e+003;4.3494873047e+003;4.3526923828e+003;4.3112822266e+003;4.3307690430e+003;4.3308974609e+003;4.3392309570e+003;4.3362822266e+003;4.2933334961e+003;4.3179487305e+003;4.3096152344e+003;4.3146152344e+003;4.3452563477e+003;
1.5625000000e-002;4.2325639648e+003;4.2289741211e+003;4.2501284180e+003;4.2556411133e+003;4.2103847656e+003;4.2430771484e+003;4.2303847656e+003;4.2350000000e+003;4.2369228516e+003;4.1878203125e+003;4.2128203125e+003;4.2075639648e+003;4.2143588867e+003;4.2433334961e+003;
2.3437500000e-002;4.2044873047e+003;4.1903847656e+003;4.2119228516e+003;4.2246152344e+003;4.1842309570e+003;4.2180771484e+003;4.1992309570e+003;4.2053847656e+003;4.2038461914e+003;4.1456411133e+003;4.1708974609e+003;4.1658974609e+003;4.1735898438e+003;4.2002563477e+003;
3.1250000000e-002;4.1924360352e+003;4.1738461914e+003;4.2000000000e+003;4.2128203125e+003;4.1721796875e+003;4.2116665039e+003;4.1925639648e+003;4.1985898438e+003;4.1969228516e+003;4.1382050781e+003;4.1594873047e+003;4.1533334961e+003;4.1589741211e+003;4.1878203125e+003;
3.9062500000e-002;4.1814101563e+003;4.1593588867e+003;4.1888461914e+003;4.2001284180e+003;4.1606411133e+003;4.2060258789e+003;4.1880771484e+003;4.1915385742e+003;4.1900000000e+003;4.1310258789e+003;4.1494873047e+003;4.1425639648e+003;4.1479487305e+003;4.1775639648e+003;
4.6875000000e-002;4.2153847656e+003;4.1919228516e+003;4.2216665039e+003;4.2282050781e+003;4.1962822266e+003;4.2412822266e+003;4.2302563477e+003;4.2315385742e+003;4.2300000000e+003;4.1716665039e+003;4.1884614258e+003;4.1797436523e+003;4.1885898438e+003;4.2162822266e+003;
5.4687500000e-002;4.2166665039e+003;4.1846152344e+003;4.2214101563e+003;4.2325639648e+003;4.1908974609e+003;4.2291025391e+003;4.2238461914e+003;4.2288461914e+003;4.2160258789e+003;4.1671796875e+003;4.1858974609e+003;4.1835898438e+003;4.1875639648e+003;4.2210258789e+003;
6.2500000000e-002;4.2297436523e+003;4.1960258789e+003;4.2310258789e+003;4.2442309570e+003;4.1991025391e+003;4.2339741211e+003;4.2288461914e+003;4.2320512695e+003;4.2165385742e+003;4.1735898438e+003;4.1964101563e+003;4.1935898438e+003;4.2006411133e+003;4.2330771484e+003;
7.0312500000e-002;4.2612822266e+003;4.2282050781e+003;4.2588461914e+003;4.2720512695e+003;4.2257690430e+003;4.2566665039e+003;4.2512822266e+003;4.2557690430e+003;4.2396152344e+003;4.2026923828e+003;4.2298715820e+003;4.2239741211e+003;4.2352563477e+003;4.2656411133e+003;
