Time (s);AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;Sampling Rate
0.0000000000e+000;4.2587177734e+003;4.2560258789e+003;4.2792309570e+003;4.2847436523e+003;4.2730771484e+003;4.2896152344e+003;4.2874360352e+003;4.2932050781e+003;4.2861538086e+003;4.2658974609e+003;4.2833334961e+003;4.2797436523e+003;4.2869228516e+003;4.2733334961e+003;128
7.8125000000e-003;4.2566665039e+003;4.2515385742e+003;4.2752563477e+003;4.2838461914e+003;4.2702563477e+003;4.2879487305e+003;4.2834614258e+003;4.2850000000e+003;4.2788461914e+003;4.2608974609e+003;4.2758974609e+003;4.2711538086e+003;4.2851284180e+003;4.2683334961e+003;
1.5625000000e-002;4.2705126953e+003;4.2652563477e+003;4.2835898438e+003;4.2885898438e+003;4.2803847656e+003;4.2876923828e+003;4.2801284180e+003;4.2787177734e+003;4.2796152344e+003;4.2617949219e+003;4.2808974609e+003;4.2919228516e+003;4.2911538086e+003;4.2866665039e+003;
2.3437500000e-002;4.3055126953e+003;4.3008974609e+003;4.3180771484e+003;4.3205126953e+003;4.3132050781e+003;4.3165385742e+003;4.3119228516e+003;4.3124360352e+003;4.3124360352e+003;4.2982050781e+003;4.3174360352e+003;4.3247436523e+003;4.3283334961e+003;4.3208974609e+003;
3.1250000000e-002;4.2912822266e+003;4.2828203125e+003;4.3073076172e+003;4.3071796875e+003;4.2970512695e+003;4.3032050781e+003;4.2920512695e+003;4.3079487305e+003;4.2970512695e+003;4.2887177734e+003;4.3058974609e+003;4.3037177734e+003;4.3220512695e+003;4.3020512695e+003;
3.9062500000e-002;4.3117949219e+003;4.3061538086e+003;4.3193588867e+003;4.3303847656e+003;4.3130771484e+003;4.3216665039e+003;4.3126923828e+003;4.3278203125e+003;4.3165385742e+003;4.3044873047e+003;4.3217949219e+003;4.3225639648e+003;4.3389741211e+003;4.3215385742e+003;
4.6875000000e-002;4.3092309570e+003;4.3037177734e+003;4.3153847656e+003;4.3303847656e+003;4.3088461914e+003;4.3200000000e+003;4.3103847656e+003;4.3278203125e+003;4.3162822266e+003;4.3035898438e+003;4.3191025391e+003;4.3225639648e+003;4.3339741211e+003;4.3210258789e+003;
5.4687500000e-002;4.3152563477e+003;4.3135898438e+003;4.3274360352e+003;4.3356411133e+003;4.3217949219e+003;4.3302563477e+003;4.3201284180e+003;4.3328203125e+003;4.3228203125e+003;4.3064101563e+003;4.3255126953e+003;4.3243588867e+003;4.3403847656e+003;4.3253847656e+003;
6.2500000000e-002;4.3008974609e+003;4.2989741211e+003;4.3188461914e+003;4.3202563477e+003;4.3029487305e+003;4.3193588867e+003;4.3150000000e+003;4.3261538086e+003;4.3169228516e+003;4.3056411133e+003;4.3247436523e+003;4.3242309570e+003;4.3333334961e+003;4.3207690430e+003;
7.0312500000e-002;4.2864101563e+003;4.2794873047e+003;4.3014101563e+003;4.3047436523e+003;4.2826923828e+003;4.3047436523e+003;4.3011538086e+003;4.3065385742e+003;4.2993588867e+003;4.2847436523e+003;4.3062822266e+003;4.3055126953e+003;4.3151284180e+003;4.3039741211e+003;
7.8125000000e-002;4.3174360352e+003;4.3038461914e+003;4.3317949219e+003;4.3274360352e+003;4.3156411133e+003;4.3312822266e+003;4.3243588867e+003;4.3307690430e+003;4.3262822266e+003;4.3106411133e+003;4.3291025391e+003;4.3215385742e+003;4.3412822266e+003;4.3257690430e+003;
8.5937500000e-002;4.2853847656e+003;4.2714101563e+003;4.3025639648e+003;4.3002563477e+003;4.2870512695e+003;4.3037177734e+003;4.2955126953e+003;4.3011538086e+003;4.2938461914e+003;4.2819228516e+003;4.3001284180e+003;4.2930771484e+003;4.3114101563e+003;4.2943588867e+003;
9.3750000000e-002;4.2578203125e+003;4.2501284180e+003;4.2725639648e+003;4.2823076172e+003;4.2598715820e+003;4.2844873047e+003;4.2775639648e+003;4.2771796875e+003;4.2687177734e+003;4.2574360352e+003;4.2816665039e+003;4.2742309570e+003;4.2916665039e+003;4.2717949219e+003;
1.0156250000e-001;4.2679487305e+003;4.2648715820e+003;4.2794873047e+003;4.2929487305e+003;4.2678203125e+003;4.2958974609e+003;4.2887177734e+003;4.2897436523e+003;4.2832050781e+003;4.2684614258e+003;4.2941025391e+003;4.2864101563e+003;4.3041025391e+003;4.2844873047e+003;
1.0937500000e-001;4.2567949219e+003;4.2450000000e+003;4.2678203125e+003;4.2767949219e+003;4.2612822266e+003;4.2773076172e+003;4.2656411133e+003;4.2696152344e+003;4.2616665039e+003;4.2466665039e+003;4.2625639648e+003;4.2593588867e+003;4.2783334961e+003;4.2625639648e+003;
1.1718750000e-001;4.2885898438e+003;4.2738461914e+003;4.2996152344e+003;4.3051284180e+003;4.2983334961e+003;4.3029487305e+003;4.2915385742e+003;4.2962822266e+003;4.2888461914e+003;4.2780771484e+003;4.2906411133e+003;4.2856411133e+003;4.3073076172e+003;4.2901284180e+003;
1.2500000000e-001;4.3214101563e+003;4.3069228516e+003;4.3325639648e+003;4.3348715820e+003;4.3338461914e+003;4.3326923828e+003;4.3214101563e+003;4.3287177734e+003;4.3243588867e+003;4.3153847656e+003;4.3266665039e+003;4.3191025391e+003;4.3410258789e+003;4.3234614258e+003;
1.3281250000e-001;4.3226923828e+003;4.3085898438e+003;4.3335898438e+003;4.3348715820e+003;4.3328203125e+003;4.3352563477e+003;4.3237177734e+003;4.3328203125e+003;4.3323076172e+003;4.3202563477e+003;4.3329487305e+003;4.3243588867e+003;4.3434614258e+003;4.3276923828e+003;
1.4062500000e-001;4.3226923828e+003;4.3053847656e+003;4.3266665039e+003;4.3307690430e+003;4.3207690430e+003;4.3312822266e+003;4.3256411133e+003;4.3358974609e+003;4.3324360352e+003;4.3089741211e+003;4.3291025391e+003;4.3200000000e+003;4.3405126953e+003;4.3250000000e+003;
1.4843750000e-001;4.3232050781e+003;4.3087177734e+003;4.3289741211e+003;4.3315385742e+003;4.3238461914e+003;4.3324360352e+003;4.3262822266e+003;4.3421796875e+003;4.3344873047e+003;4.3151284180e+003;4.3315385742e+003;4.3239741211e+003;4.3434614258e+003;4.3270512695e+003;
