Time (s);AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;Sampling Rate
0.0000000000e+000;3.8893588867e+003;3.8264101563e+003;3.8315385742e+003;3.8179487305e+003;3.7979487305e+003;3.7996154785e+003;3.8033332520e+003;3.8188461914e+003;3.8437180176e+003;3.8608974609e+003;3.8152563477e+003;3.8323076172e+003;3.8311538086e+003;3.8458974609e+003;128
7.8125000000e-003;3.8791025391e+003;3.8153845215e+003;3.8221794434e+003;3.8106411133e+003;3.7898718262e+003;3.7955129395e+003;3.7998718262e+003;3.8075642090e+003;3.8296154785e+003;3.8462819824e+003;3.8024357910e+003;3.8235898438e+003;3.8165385742e+003;3.8329487305e+003;
1.5625000000e-002;3.9108974609e+003;3.8397436523e+003;3.8438461914e+003;3.8376923828e+003;3.8200000000e+003;3.8306411133e+003;3.8379487305e+003;3.8262819824e+003;3.8474357910e+003;3.8625642090e+003;3.8229487305e+003;3.8396154785e+003;3.8338461914e+003;3.8484614258e+003;
2.3437500000e-002;3.9375642090e+003;3.8651281738e+003;3.8675642090e+003;3.8617949219e+003;3.8458974609e+003;3.8575642090e+003;3.8666667480e+003;3.8496154785e+003;3.8714101563e+003;3.8856411133e+003;3.8458974609e+003;3.8587180176e+003;3.8567949219e+003;3.8700000000e+003;
3.1250000000e-002;3.9425642090e+003;3.8784614258e+003;3.8855129395e+003;3.8694870605e+003;3.8533332520e+003;3.8744870605e+003;3.8841025391e+003;3.8669230957e+003;3.8802563477e+003;3.8988461914e+003;3.8517949219e+003;3.8752563477e+003;3.8662819824e+003;3.8815385742e+003;
3.9062500000e-002;3.9287180176e+003;3.8643588867e+003;3.8716667480e+003;3.8541025391e+003;3.8398718262e+003;3.8626923828e+003;3.8715385742e+003;3.8553845215e+003;3.8647436523e+003;3.8866667480e+003;3.8383332520e+003;3.8643588867e+003;3.8526923828e+003;3.8671794434e+003;
4.6875000000e-002;3.9074357910e+003;3.8392307129e+003;3.8467949219e+003;3.8292307129e+003;3.8179487305e+003;3.8401281738e+003;3.8498718262e+003;3.8334614258e+003;3.8401281738e+003;3.8641025391e+003;3.8165385742e+003;3.8416667480e+003;3.8294870605e+003;3.8429487305e+003;
5.4687500000e-002;3.8783332520e+003;3.8043588867e+003;3.8137180176e+003;3.7962819824e+003;3.7874357910e+003;3.8079487305e+003;3.8200000000e+003;3.8015385742e+003;3.8069230957e+003;3.8310256348e+003;3.7865385742e+003;3.8092307129e+003;3.7966667480e+003;3.8114101563e+003;
6.2500000000e-002;3.8697436523e+003;3.7965385742e+003;3.8064101563e+003;3.7833332520e+003;3.7757692871e+003;3.7893588867e+003;3.8033332520e+003;3.7811538086e+003;3.7825642090e+003;3.8160256348e+003;3.7792307129e+003;3.8010256348e+003;3.7887180176e+003;3.8083332520e+003;
7.0312500000e-002;3.8689743652e+003;3.7957692871e+003;3.8042307129e+003;3.7820512695e+003;3.7707692871e+003;3.7838461914e+003;3.7965385742e+003;3.7785898438e+003;3.7792307129e+003;3.8175642090e+003;3.7778205566e+003;3.8025642090e+003;3.7903845215e+003;3.8070512695e+003;
7.8125000000e-002;3.7761538086e+003;3.6952563477e+003;3.7007692871e+003;3.6829487305e+003;3.6650000000e+003;3.6782050781e+003;3.6850000000e+003;3.6775642090e+003;3.6788461914e+003;3.7203845215e+003;3.6816667480e+003;3.6998718262e+003;3.6941025391e+003;3.7062819824e+003;
8.5937500000e-002;3.6456411133e+003;3.5601281738e+003;3.5703845215e+003;3.5514101563e+003;3.5266667480e+003;3.5493588867e+003;3.5457692871e+003;3.5487180176e+003;3.5644870605e+003;3.5883332520e+003;3.5517949219e+003;3.5714101563e+003;3.5646154785e+003;3.5764101563e+003;
9.3750000000e-002;3.6141025391e+003;3.5237180176e+003;3.5357692871e+003;3.5189743652e+003;3.4907692871e+003;3.5151281738e+003;3.5117949219e+003;3.5150000000e+003;3.5375642090e+003;3.5530769043e+003;3.5169230957e+003;3.5380769043e+003;3.5315385742e+003;3.5414101563e+003;
1.0156250000e-001;3.6530769043e+003;3.5565385742e+003;3.5600000000e+003;3.5515385742e+003;3.5284614258e+003;3.5470512695e+003;3.5446154785e+003;3.5451281738e+003;3.5796154785e+003;3.5860256348e+003;3.5494870605e+003;3.5638461914e+003;3.5579487305e+003;3.5689743652e+003;
1.0937500000e-001;3.6808974609e+003;3.5856411133e+003;3.5857692871e+003;3.5779487305e+003;3.5578205566e+003;3.5760256348e+003;3.5724357910e+003;3.5705129395e+003;3.6033332520e+003;3.6096154785e+003;3.5747436523e+003;3.5903845215e+003;3.5807692871e+003;3.5960256348e+003;
1.1718750000e-001;3.7739743652e+003;3.6864101563e+003;3.6803845215e+003;3.6720512695e+003;3.6589743652e+003;3.6757692871e+003;3.6730769043e+003;3.6642307129e+003;3.6891025391e+003;3.6987180176e+003;3.6625642090e+003;3.6832050781e+003;3.6744870605e+003;3.6874357910e+003;
1.2500000000e-001;3.8301281738e+003;3.7478205566e+003;3.7396154785e+003;3.7292307129e+003;3.7226923828e+003;3.7375642090e+003;3.7371794434e+003;3.7252563477e+003;3.7471794434e+003;3.7611538086e+003;3.7202563477e+003;3.7400000000e+003;3.7355129395e+003;3.7428205566e+003;
