Time (s),AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Sampling Rate
0.0000000000e+000,4.5819228516e+003,4.6721796875e+003,4.6410258789e+003,4.5601284180e+003,4.6584614258e+003,4.6275639648e+003,4.6012822266e+003,4.5960258789e+003,4.5937177734e+003,4.6716665039e+003,4.6533334961e+003,4.6341025391e+003,4.6242309570e+003,4.6105126953e+003,128
7.8125000000e-003,4.4091025391e+003,4.4929487305e+003,4.4712822266e+003,4.3985898438e+003,4.5098715820e+003,4.4493588867e+003,4.4294873047e+003,4.4323076172e+003,4.4338461914e+003,4.4997436523e+003,4.4714101563e+003,4.4691025391e+003,4.4728203125e+003,4.4524360352e+003,
1.5625000000e-002,4.3850000000e+003,4.4667949219e+003,4.4429487305e+003,4.3730771484e+003,4.4865385742e+003,4.4230771484e+003,4.4064101563e+003,4.4092309570e+003,4.4129487305e+003,4.4761538086e+003,4.4516665039e+003,4.4447436523e+003,4.4471796875e+003,4.4300000000e+003,
2.3437500000e-002,4.4778203125e+003,4.5685898438e+003,4.5332050781e+003,4.4662822266e+003,4.5551284180e+003,4.5205126953e+003,4.5069228516e+003,4.5126923828e+003,4.5202563477e+003,4.5803847656e+003,4.5601284180e+003,4.5430771484e+003,4.5492309570e+003,4.5237177734e+003,
3.1250000000e-002,4.5326923828e+003,4.6280771484e+003,4.5874360352e+003,4.5217949219e+003,4.6092309570e+003,4.5770512695e+003,4.5610258789e+003,4.5744873047e+003,4.5800000000e+003,4.6393588867e+003,4.6165385742e+003,4.5985898438e+003,4.6129487305e+003,4.5773076172e+003,
3.9062500000e-002,4.5635898438e+003,4.6612822266e+003,4.6171796875e+003,4.5525639648e+003,4.6451284180e+003,4.6098715820e+003,4.5906411133e+003,4.6128203125e+003,4.6151284180e+003,4.6732050781e+003,4.6487177734e+003,4.6301284180e+003,4.6503847656e+003,4.6071796875e+003,
4.6875000000e-002,4.5585898438e+003,4.6558974609e+003,4.6116665039e+003,4.5478203125e+003,4.6487177734e+003,4.6082050781e+003,4.5865385742e+003,4.6148715820e+003,4.6130771484e+003,4.6688461914e+003,4.6446152344e+003,4.6265385742e+003,4.6467949219e+003,4.6017949219e+003,
5.4687500000e-002,4.5020512695e+003,4.6091025391e+003,4.5685898438e+003,4.5108974609e+003,4.6291025391e+003,4.5878203125e+003,4.5694873047e+003,4.5903847656e+003,4.5723076172e+003,4.6157690430e+003,4.5944873047e+003,4.5821796875e+003,4.5915385742e+003,4.5517949219e+003,
6.2500000000e-002,4.6365385742e+003,4.7538461914e+003,4.7032050781e+003,4.6475639648e+003,4.7485898438e+003,4.7315385742e+003,4.7161538086e+003,4.7287177734e+003,4.7051284180e+003,4.7519228516e+003,4.7326923828e+003,4.7088461914e+003,4.7294873047e+003,4.6762822266e+003,
7.0312500000e-002,4.6596152344e+003,4.7808974609e+003,4.7251284180e+003,4.6646152344e+003,4.7830771484e+003,4.7574360352e+003,4.7392309570e+003,4.7503847656e+003,4.7271796875e+003,4.7778203125e+003,4.7580771484e+003,4.7325639648e+003,4.7528203125e+003,4.6983334961e+003,
7.8125000000e-002,4.6469228516e+003,4.7775639648e+003,4.7189741211e+003,4.6489741211e+003,4.7875639648e+003,4.7529487305e+003,4.7325639648e+003,4.7370512695e+003,4.7151284180e+003,4.7742309570e+003,4.7492309570e+003,4.7282050781e+003,4.7448715820e+003,4.6926923828e+003,
8.5937500000e-002,4.6416665039e+003,4.7756411133e+003,4.7170512695e+003,4.6476923828e+003,4.7837177734e+003,4.7470512695e+003,4.7287177734e+003,4.7285898438e+003,4.7080771484e+003,4.7698715820e+003,4.7415385742e+003,4.7255126953e+003,4.7417949219e+003,4.6905126953e+003,
9.3750000000e-002,4.7192309570e+003,4.8537177734e+003,4.7952563477e+003,4.7373076172e+003,4.8578203125e+003,4.8084614258e+003,4.7941025391e+003,4.7957690430e+003,4.7805126953e+003,4.8366665039e+003,4.8117949219e+003,4.7993588867e+003,4.8158974609e+003,4.7616665039e+003,
1.0156250000e-001,4.7702563477e+003,4.9066665039e+003,4.8524360352e+003,4.7787177734e+003,4.9102563477e+003,4.8642309570e+003,4.8403847656e+003,4.8417949219e+003,4.8274360352e+003,4.8903847656e+003,4.8794873047e+003,4.8539741211e+003,4.8682050781e+003,4.8178203125e+003,
