Time (s),AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Sampling Rate
0.0000000000e+000,3.6802563477e+003,3.4664101563e+003,3.4916667480e+003,3.5489743652e+003,3.4471794434e+003,3.4378205566e+003,3.4916667480e+003,3.4574357910e+003,3.4716667480e+003,3.4893588867e+003,3.4680769043e+003,3.5142307129e+003,3.4778205566e+003,3.5139743652e+003,128
7.8125000000e-003,3.7867949219e+003,3.5873076172e+003,3.6011538086e+003,3.6525642090e+003,3.5600000000e+003,3.5424357910e+003,3.5950000000e+003,3.5753845215e+003,3.5908974609e+003,3.6158974609e+003,3.5980769043e+003,3.6320512695e+003,3.5915385742e+003,3.6262819824e+003,
1.5625000000e-002,3.7914101563e+003,3.6155129395e+003,3.6191025391e+003,3.6629487305e+003,3.6052563477e+003,3.5635898438e+003,3.6130769043e+003,3.6138461914e+003,3.6400000000e+003,3.6589743652e+003,3.6373076172e+003,3.6562819824e+003,3.6223076172e+003,3.6411538086e+003,
2.3437500000e-002,3.7541025391e+003,3.5852563477e+003,3.5871794434e+003,3.6319230957e+003,3.5888461914e+003,3.5410256348e+003,3.5874357910e+003,3.5892307129e+003,3.6207692871e+003,3.6334614258e+003,3.6023076172e+003,3.6212819824e+003,3.5978205566e+003,3.6065385742e+003,
3.1250000000e-002,3.7335898438e+003,3.5711538086e+003,3.5692307129e+003,3.6174357910e+003,3.5834614258e+003,3.5369230957e+003,3.5775642090e+003,3.5775642090e+003,3.6123076172e+003,3.6203845215e+003,3.5785898438e+003,3.6003845215e+003,3.5848718262e+003,3.5882050781e+003,
3.9062500000e-002,3.6246154785e+003,3.4919230957e+003,3.4816667480e+003,3.5261538086e+003,3.5070512695e+003,3.4862819824e+003,3.5151281738e+003,3.5007692871e+003,3.5319230957e+003,3.5300000000e+003,3.4814101563e+003,3.5041025391e+003,3.4800000000e+003,3.4961538086e+003,
4.6875000000e-002,3.6803845215e+003,3.5532050781e+003,3.5391025391e+003,3.5826923828e+003,3.5687180176e+003,3.5482050781e+003,3.5784614258e+003,3.5571794434e+003,3.5876923828e+003,3.5892307129e+003,3.5376923828e+003,3.5562819824e+003,3.5419230957e+003,3.5501281738e+003,
5.4687500000e-002,3.9092307129e+003,3.8023076172e+003,3.7735898438e+003,3.8317949219e+003,3.8124357910e+003,3.7985898438e+003,3.8187180176e+003,3.7983332520e+003,3.8198718262e+003,3.8335898438e+003,3.7843588867e+003,3.8012819824e+003,3.7798718262e+003,3.7908974609e+003,
6.2500000000e-002,3.9317949219e+003,3.8285898438e+003,3.8008974609e+003,3.8623076172e+003,3.8393588867e+003,3.8244870605e+003,3.8414101563e+003,3.8250000000e+003,3.8451281738e+003,3.8610256348e+003,3.8151281738e+003,3.8317949219e+003,3.8037180176e+003,3.8180769043e+003,
7.0312500000e-002,3.9207692871e+003,3.8238461914e+003,3.8032050781e+003,3.8576923828e+003,3.8344870605e+003,3.8150000000e+003,3.8320512695e+003,3.8185898438e+003,3.8379487305e+003,3.8600000000e+003,3.8097436523e+003,3.8310256348e+003,3.8048718262e+003,3.8097436523e+003,
