Time (s);AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;Sampling Rate
0.0000000000e+000;4.0724357910e+003;4.0152563477e+003;4.0666667480e+003;4.0460256348e+003;3.9746154785e+003;4.0539743652e+003;4.0397436523e+003;4.0415385742e+003;4.0502563477e+003;4.0356411133e+003;4.0648718262e+003;4.0716667480e+003;4.0658974609e+003;4.0915385742e+003;128
7.8125000000e-003;4.1296152344e+003;4.0585898438e+003;4.0861538086e+003;4.0794870605e+003;4.0030769043e+003;4.0589743652e+003;4.0507692871e+003;4.0558974609e+003;4.0628205566e+003;4.0524357910e+003;4.0864101563e+003;4.0907692871e+003;4.0953845215e+003;4.1126923828e+003;
1.5625000000e-002;4.1716665039e+003;4.1053847656e+003;4.1273076172e+003;4.1125639648e+003;4.0664101563e+003;4.0985898438e+003;4.0924357910e+003;4.1002563477e+003;4.1096152344e+003;4.0992309570e+003;4.1278203125e+003;4.1341025391e+003;4.1358974609e+003;4.1564101563e+003;
2.3437500000e-002;4.1085898438e+003;4.0619230957e+003;4.0871794434e+003;4.0578205566e+003;4.0361538086e+003;4.0705129395e+003;4.0571794434e+003;4.0633332520e+003;4.0744870605e+003;4.0584614258e+003;4.0814101563e+003;4.0971796875e+003;4.0924357910e+003;4.1155126953e+003;
3.1250000000e-002;4.0808974609e+003;4.0375642090e+003;4.0683332520e+003;4.0333332520e+003;4.0032050781e+003;4.0534614258e+003;4.0373076172e+003;4.0383332520e+003;4.0482050781e+003;4.0294870605e+003;4.0551281738e+003;4.0755129395e+003;4.0701281738e+003;4.0917949219e+003;
3.9062500000e-002;4.1033334961e+003;4.0546154785e+003;4.0923076172e+003;4.0505129395e+003;4.0076923828e+003;4.0702563477e+003;4.0548718262e+003;4.0546154785e+003;4.0628205566e+003;4.0444870605e+003;4.0720512695e+003;4.0948718262e+003;4.0884614258e+003;4.1097436523e+003;
4.6875000000e-002;4.0821794434e+003;4.0416667480e+003;4.0826923828e+003;4.0582050781e+003;4.0069230957e+003;4.0617949219e+003;4.0516667480e+003;4.0523076172e+003;4.0538461914e+003;4.0302563477e+003;4.0746154785e+003;4.0775642090e+003;4.0898718262e+003;4.1164101563e+003;
5.4687500000e-002;4.1096152344e+003;4.0760256348e+003;4.1057690430e+003;4.0888461914e+003;4.0337180176e+003;4.0856411133e+003;4.0779487305e+003;4.0807692871e+003;4.0819230957e+003;4.0582050781e+003;4.1017949219e+003;4.1057690430e+003;4.1174360352e+003;4.1456411133e+003;
6.2500000000e-002;4.0573076172e+003;4.0176923828e+003;4.0433332520e+003;4.0210256348e+003;3.9788461914e+003;4.0246154785e+003;4.0191025391e+003;4.0205129395e+003;4.0196154785e+003;4.0024357910e+003;4.0347436523e+003;4.0460256348e+003;4.0450000000e+003;4.0730769043e+003;
7.0312500000e-002;4.0906411133e+003;4.0810256348e+003;4.1115385742e+003;4.0805129395e+003;4.0598718262e+003;4.0944870605e+003;4.0864101563e+003;4.0934614258e+003;4.0901281738e+003;4.0730769043e+003;4.1006411133e+003;4.1137177734e+003;4.1219228516e+003;4.1557690430e+003;
