Time (s);AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;Sampling Rate
0.0000000000e+000;4.8273076172e+003;5.0053847656e+003;4.9778203125e+003;4.9191025391e+003;5.0130771484e+003;4.9850000000e+003;4.9876923828e+003;4.9970512695e+003;4.9683334961e+003;4.9989741211e+003;4.9791025391e+003;4.9824360352e+003;4.9853847656e+003;4.9557690430e+003;128
7.8125000000e-003;4.9434614258e+003;5.1300000000e+003;5.0938461914e+003;5.0289741211e+003;5.1382050781e+003;5.0937177734e+003;5.0984614258e+003;5.1128203125e+003;5.0841025391e+003;5.1242309570e+003;5.1039741211e+003;5.1021796875e+003;5.1057690430e+003;5.0751284180e+003;
1.5625000000e-002;5.0192309570e+003;5.2124360352e+003;5.1721796875e+003;5.0975639648e+003;5.2183334961e+003;5.1655126953e+003;5.1693588867e+003;5.1923076172e+003;5.1633334961e+003;5.2117949219e+003;5.1919228516e+003;5.1835898438e+003;5.1883334961e+003;5.1567949219e+003;
2.3437500000e-002;4.7432050781e+003;4.9271796875e+003;4.9135898438e+003;4.8400000000e+003;4.9244873047e+003;4.8866665039e+003;4.8811538086e+003;4.9138461914e+003;4.8920512695e+003;4.9362822266e+003;4.9257690430e+003;4.9225639648e+003;4.9241025391e+003;4.9012822266e+003;
3.1250000000e-002;4.6897436523e+003;4.8721796875e+003;4.8574360352e+003;4.7864101563e+003;4.8667949219e+003;4.8247436523e+003;4.8219228516e+003;4.8530771484e+003;4.8353847656e+003;4.8787177734e+003;4.8714101563e+003;4.8688461914e+003;4.8667949219e+003;4.8487177734e+003;
3.9062500000e-002;4.6270512695e+003;4.8017949219e+003;4.7876923828e+003;4.7143588867e+003;4.7887177734e+003;4.7474360352e+003;4.7437177734e+003;4.7788461914e+003;4.7705126953e+003;4.8058974609e+003;4.8042309570e+003;4.8006411133e+003;4.7978203125e+003;4.7853847656e+003;
4.6875000000e-002;4.6043588867e+003;4.7756411133e+003;4.7630771484e+003;4.6888461914e+003;4.7606411133e+003;4.7246152344e+003;4.7176923828e+003;4.7567949219e+003;4.7525639648e+003;4.7802563477e+003;4.7766665039e+003;4.7748715820e+003;4.7739741211e+003;4.7620512695e+003;
5.4687500000e-002;4.5615385742e+003;4.7325639648e+003;4.7200000000e+003;4.6470512695e+003;4.7207690430e+003;4.6912822266e+003;4.6864101563e+003;4.7306411133e+003;4.7278203125e+003;4.7348715820e+003;4.7242309570e+003;4.7294873047e+003;4.7265385742e+003;4.7217949219e+003;
6.2500000000e-002;4.5335898438e+003;4.7030771484e+003;4.6873076172e+003;4.6288461914e+003;4.6987177734e+003;4.6794873047e+003;4.6750000000e+003;4.7080771484e+003;4.6983334961e+003;4.6997436523e+003;4.7033334961e+003;4.6900000000e+003;4.6976923828e+003;4.6873076172e+003;
7.0312500000e-002;4.5397436523e+003;4.7083334961e+003;4.6908974609e+003;4.6389741211e+003;4.7097436523e+003;4.6929487305e+003;4.6874360352e+003;4.7130771484e+003;4.7003847656e+003;4.7006411133e+003;4.7043588867e+003;4.6894873047e+003;4.7007690430e+003;4.6875639648e+003;
7.8125000000e-002;4.6138461914e+003;4.7776923828e+003;4.7628203125e+003;4.7114101563e+003;4.7910258789e+003;4.7765385742e+003;4.7730771484e+003;4.7951284180e+003;4.7729487305e+003;4.7708974609e+003;4.7575639648e+003;4.7591025391e+003;4.7610258789e+003;4.7537177734e+003;
8.5937500000e-002;4.6117949219e+003;4.7756411133e+003;4.7619228516e+003;4.7055126953e+003;4.7891025391e+003;4.7796152344e+003;4.7750000000e+003;4.7983334961e+003;4.7756411133e+003;4.7728203125e+003;4.7562822266e+003;4.7612822266e+003;4.7594873047e+003;4.7532050781e+003;
9.3750000000e-002;4.6025639648e+003;4.7664101563e+003;4.7523076172e+003;4.6915385742e+003;4.7805126953e+003;4.7747436523e+003;4.7696152344e+003;4.7911538086e+003;4.7693588867e+003;4.7655126953e+003;4.7503847656e+003;4.7533334961e+003;4.7520512695e+003;4.7438461914e+003;
1.0156250000e-001;4.6096152344e+003;4.7714101563e+003;4.7570512695e+003;4.6937177734e+003;4.7883334961e+003;4.7819228516e+003;4.7780771484e+003;4.7964101563e+003;4.7751284180e+003;4.7702563477e+003;4.7600000000e+003;4.7557690430e+003;4.7596152344e+003;4.7473076172e+003;
1.0937500000e-001;4.7367949219e+003;4.8908974609e+003;4.8848715820e+003;4.8334614258e+003;4.9035898438e+003;4.8880771484e+003;4.8882050781e+003;4.9107690430e+003;4.8825639648e+003;4.8833334961e+003;4.8773076172e+003;4.8712822266e+003;4.8794873047e+003;4.8692309570e+003;
1.1718750000e-001;4.7384614258e+003;4.8983334961e+003;4.8870512695e+003;4.8373076172e+003;4.9046152344e+003;4.8870512695e+003;4.8864101563e+003;4.9056411133e+003;4.8794873047e+003;4.8882050781e+003;4.8778203125e+003;4.8776923828e+003;4.8825639648e+003;4.8744873047e+003;
1.2500000000e-001;4.7917949219e+003;4.9605126953e+003;4.9383334961e+003;4.8737177734e+003;4.9570512695e+003;4.9301284180e+003;4.9284614258e+003;4.9429487305e+003;4.9239741211e+003;4.9516665039e+003;4.9400000000e+003;4.9337177734e+003;4.9391025391e+003;4.9278203125e+003;
1.3281250000e-001;4.8380771484e+003;4.9919228516e+003;4.9879487305e+003;4.9026923828e+003;4.9841025391e+003;4.9596152344e+003;4.9533334961e+003;4.9692309570e+003;4.9494873047e+003;4.9805126953e+003;4.9801284180e+003;4.9823076172e+003;4.9764101563e+003;4.9756411133e+003;
1.4062500000e-001;4.8487177734e+003;5.0035898438e+003;4.9983334961e+003;4.9070512695e+003;4.9987177734e+003;4.9621796875e+003;4.9555126953e+003;4.9794873047e+003;4.9587177734e+003;4.9941025391e+003;4.9934614258e+003;4.9915385742e+003;4.9925639648e+003;4.9875639648e+003;
1.4843750000e-001;4.6775639648e+003;4.8392309570e+003;4.8317949219e+003;4.7455126953e+003;4.8379487305e+003;4.7976923828e+003;4.7944873047e+003;4.8361538086e+003;4.8156411133e+003;4.8356411133e+003;4.8321796875e+003;4.8184614258e+003;4.8364101563e+003;4.8169228516e+003;
1.5625000000e-001;4.9741025391e+003;5.1332050781e+003;5.1221796875e+003;5.0380771484e+003;5.1301284180e+003;5.0908974609e+003;5.0970512695e+003;5.1264101563e+003;5.1092309570e+003;5.1185898438e+003;5.1191025391e+003;5.1082050781e+003;5.1161538086e+003;5.1016665039e+003;
1.6406250000e-001;5.1591025391e+003;5.3188461914e+003;5.3047436523e+003;5.2137177734e+003;5.3184614258e+003;5.2669228516e+003;5.2728203125e+003;5.3133334961e+003;5.2935898438e+003;5.3135898438e+003;5.3080771484e+003;5.2953847656e+003;5.3033334961e+003;5.2860258789e+003;
1.7187500000e-001;5.1866665039e+003;5.3708974609e+003;5.3447436523e+003;5.2435898438e+003;5.3732050781e+003;5.3167949219e+003;5.3180771484e+003;5.3806411133e+003;5.3579487305e+003;5.3889741211e+003;5.3688461914e+003;5.3437177734e+003;5.3601284180e+003;5.3337177734e+003;
1.7968750000e-001;5.0874360352e+003;5.2811538086e+003;5.2517949219e+003;5.1530771484e+003;5.2805126953e+003;5.2384614258e+003;5.2400000000e+003;5.2952563477e+003;5.2732050781e+003;5.2978203125e+003;5.2806411133e+003;5.2510258789e+003;5.2694873047e+003;5.2425639648e+003;
1.8750000000e-001;5.0247436523e+003;5.2176923828e+003;5.1958974609e+003;5.0987177734e+003;5.2175639648e+003;5.1946152344e+003;5.1983334961e+003;5.2358974609e+003;5.2151284180e+003;5.2301284180e+003;5.2184614258e+003;5.1891025391e+003;5.2071796875e+003;5.1792309570e+003;
1.9531250000e-001;5.0734614258e+003;5.2612822266e+003;5.2444873047e+003;5.1470512695e+003;5.2648715820e+003;5.2383334961e+003;5.2419228516e+003;5.2776923828e+003;5.2567949219e+003;5.2732050781e+003;5.2585898438e+003;5.2325639648e+003;5.2498715820e+003;5.2208974609e+003;
2.0312500000e-001;5.1793588867e+003;5.3794873047e+003;5.3529487305e+003;5.2535898438e+003;5.3825639648e+003;5.3400000000e+003;5.3402563477e+003;5.3815385742e+003;5.3593588867e+003;5.3841025391e+003;5.3582050781e+003;5.3412822266e+003;5.3553847656e+003;5.3311538086e+003;
2.1093750000e-001;5.1775639648e+003;5.3823076172e+003;5.3542309570e+003;5.2520512695e+003;5.3817949219e+003;5.3415385742e+003;5.3432050781e+003;5.3805126953e+003;5.3603847656e+003;5.3833334961e+003;5.3610258789e+003;5.3450000000e+003;5.3578203125e+003;5.3370512695e+003;
2.1875000000e-001;5.1711538086e+003;5.3741025391e+003;5.3502563477e+003;5.2455126953e+003;5.3719228516e+003;5.3339741211e+003;5.3373076172e+003;5.3706411133e+003;5.3535898438e+003;5.3743588867e+003;5.3579487305e+003;5.3400000000e+003;5.3535898438e+003;5.3342309570e+003;
2.2656250000e-001;5.1544873047e+003;5.3520512695e+003;5.3350000000e+003;5.2296152344e+003;5.3503847656e+003;5.3120512695e+003;5.3156411133e+003;5.3470512695e+003;5.3325639648e+003;5.3520512695e+003;5.3415385742e+003;5.3207690430e+003;5.3361538086e+003;5.3161538086e+003;
2.3437500000e-001;5.1171796875e+003;5.3274360352e+003;5.3034614258e+003;5.1951284180e+003;5.3182050781e+003;5.2708974609e+003;5.2653847656e+003;5.2942309570e+003;5.2638461914e+003;5.2926923828e+003;5.3030771484e+003;5.2883334961e+003;5.2925639648e+003;5.2852563477e+003;
2.4218750000e-001;5.1453847656e+003;5.3614101563e+003;5.3328203125e+003;5.2221796875e+003;5.3469228516e+003;5.3006411133e+003;5.2935898438e+003;5.3243588867e+003;5.2930771484e+003;5.3283334961e+003;5.3370512695e+003;5.3221796875e+003;5.3255126953e+003;5.3193588867e+003;
2.5000000000e-001;4.9088461914e+003;5.1152563477e+003;5.1030771484e+003;4.9970512695e+003;5.1105126953e+003;5.0611538086e+003;5.0538461914e+003;5.0948715820e+003;5.0806411133e+003;5.1123076172e+003;5.1132050781e+003;5.0978203125e+003;5.1060258789e+003;5.0920512695e+003;
2.5781250000e-001;4.5592309570e+003;4.7425639648e+003;4.7464101563e+003;4.6500000000e+003;4.7357690430e+003;4.7067949219e+003;4.7038461914e+003;4.7417949219e+003;4.7292309570e+003;4.7283334961e+003;4.7453847656e+003;4.7347436523e+003;4.7426923828e+003;4.7383334961e+003;
2.6562500000e-001;4.5838461914e+003;4.7623076172e+003;4.7634614258e+003;4.6729487305e+003;4.7484614258e+003;4.7238461914e+003;4.7221796875e+003;4.7610258789e+003;4.7476923828e+003;4.7437177734e+003;4.7616665039e+003;4.7503847656e+003;4.7569228516e+003;4.7566665039e+003;
2.7343750000e-001;4.7324360352e+003;4.9070512695e+003;4.8994873047e+003;4.8125639648e+003;4.8878203125e+003;4.8592309570e+003;4.8615385742e+003;4.9089741211e+003;4.8875639648e+003;4.8830771484e+003;4.8957690430e+003;4.8805126953e+003;4.8851284180e+003;4.8873076172e+003;
2.8125000000e-001;4.5712822266e+003;4.7264101563e+003;4.7405126953e+003;4.6408974609e+003;4.7238461914e+003;4.7192309570e+003;4.7244873047e+003;4.7593588867e+003;4.7326923828e+003;4.7102563477e+003;4.7180771484e+003;4.7162822266e+003;4.7158974609e+003;4.7197436523e+003;
2.8906250000e-001;4.4752563477e+003;4.6198715820e+003;4.6425639648e+003;4.5450000000e+003;4.6230771484e+003;4.6293588867e+003;4.6332050781e+003;4.6619228516e+003;4.6387177734e+003;4.6087177734e+003;4.6187177734e+003;4.6198715820e+003;4.6144873047e+003;4.6228203125e+003;
2.9687500000e-001;4.1120512695e+003;4.2335898438e+003;4.2667949219e+003;4.1874360352e+003;4.2328203125e+003;4.2815385742e+003;4.2757690430e+003;4.2932050781e+003;4.2746152344e+003;4.2280771484e+003;4.2552563477e+003;4.2507690430e+003;4.2388461914e+003;4.2569228516e+003;
3.0468750000e-001;3.9712819824e+003;4.0832050781e+003;4.1191025391e+003;4.0501281738e+003;4.0788461914e+003;4.1425639648e+003;4.1342309570e+003;4.1461538086e+003;4.1260258789e+003;4.0760256348e+003;4.1070512695e+003;4.1038461914e+003;4.0920512695e+003;4.1123076172e+003;
3.1250000000e-001;3.8156411133e+003;3.9039743652e+003;3.9385898438e+003;3.8893588867e+003;3.9093588867e+003;3.9724357910e+003;3.9612819824e+003;3.9555129395e+003;3.9385898438e+003;3.8807692871e+003;3.9176923828e+003;3.9205129395e+003;3.9157692871e+003;3.9370512695e+003;
3.2031250000e-001;3.8482050781e+003;3.9278205566e+003;3.9573076172e+003;3.9110256348e+003;3.9417949219e+003;3.9905129395e+003;3.9787180176e+003;3.9667949219e+003;3.9537180176e+003;3.8941025391e+003;3.9338461914e+003;3.9379487305e+003;3.9367949219e+003;3.9583332520e+003;
3.2812500000e-001;4.0053845215e+003;4.0694870605e+003;4.0983334961e+003;4.0408974609e+003;4.0770512695e+003;4.1138461914e+003;4.0998715820e+003;4.0970512695e+003;4.0803845215e+003;4.0370512695e+003;4.0721794434e+003;4.0826923828e+003;4.0739743652e+003;4.1012822266e+003;
3.3593750000e-001;3.9776923828e+003;4.0329487305e+003;4.0675642090e+003;4.0106411133e+003;4.0351281738e+003;4.0800000000e+003;4.0650000000e+003;4.0644870605e+003;4.0460256348e+003;4.0082050781e+003;4.0412819824e+003;4.0523076172e+003;4.0417949219e+003;4.0689743652e+003;
3.4375000000e-001;3.9235898438e+003;3.9675642090e+003;4.0087180176e+003;3.9543588867e+003;3.9701281738e+003;4.0212819824e+003;4.0041025391e+003;4.0030769043e+003;3.9855129395e+003;3.9487180176e+003;3.9841025391e+003;3.9923076172e+003;3.9817949219e+003;4.0083332520e+003;
3.5156250000e-001;3.8615385742e+003;3.8937180176e+003;3.9410256348e+003;3.8889743652e+003;3.9012819824e+003;3.9546154785e+003;3.9348718262e+003;3.9325642090e+003;3.9176923828e+003;3.8769230957e+003;3.9189743652e+003;3.9233332520e+003;3.9124357910e+003;3.9392307129e+003;
3.5937500000e-001;3.6252563477e+003;3.6323076172e+003;3.6785898438e+003;3.6406411133e+003;3.6270512695e+003;3.6869230957e+003;3.6658974609e+003;3.6787180176e+003;3.6687180176e+003;3.6062819824e+003;3.6532050781e+003;3.6682050781e+003;3.6500000000e+003;3.6851281738e+003;
3.6718750000e-001;3.5753845215e+003;3.5737180176e+003;3.6184614258e+003;3.5858974609e+003;3.5614101563e+003;3.6262819824e+003;3.6076923828e+003;3.6210256348e+003;3.6110256348e+003;3.5488461914e+003;3.5916667480e+003;3.6087180176e+003;3.5929487305e+003;3.6266667480e+003;
3.7500000000e-001;3.5292307129e+003;3.4894870605e+003;3.5469230957e+003;3.5143588867e+003;3.4861538086e+003;3.5465385742e+003;3.5376923828e+003;3.5388461914e+003;3.5316667480e+003;3.4607692871e+003;3.5169230957e+003;3.5284614258e+003;3.5187180176e+003;3.5491025391e+003;
